年,作歌,作曲,曲名,ファイル名,フラグ,ヘッダ,midi,mp3,html
昭和57年閉寮記念寮歌,植木貴昭,串田厚司,寮友よ永遠に謳歌わん,ryoka/s57b.txt,1,5,s57b,s57b,s57b
昭和58年寮歌,泉進介,島倉朝雄,寮生の道,ryoka/s58.txt,1,6,s58,s58,s58
昭和58年新寮記念寮歌,大崎益孝,竹中秀文,北に恵めし,ryoka/s58b.txt,1,5,s58b,s58b,s58b
昭和59年寮歌,濱田和雄,青木毅,雪の白さに,ryoka/s59.txt,1,5,s59,s59,s59
昭和60年寮歌,角田勤,佐々木徹也,沈黙の杜に,ryoka/s60.txt,1,5,s60,s60,s60
昭和61年度寮歌,原澤辰明,山森聡,陽春新しき,ryoka/s61.txt,1,5,s61,s61,s61
昭和62年度寮歌,佐久間朗,吉田崇,北斗遙かに,ryoka/s62.txt,1,5,s62,s62,s62
平成元年度寮歌,宜寿次盛生,田口拓,惡魔死す瞬間,ryoka/h01.txt,1,5,h01,h01,h01
平成2年度寮歌,木村政明,田口拓,我楡陵に-行秋哀歌-,ryoka/h02.txt,1,5,h02,h02,h02
平成3年度寮歌,柴田一,,若芽の出づる,ryoka/h03.txt,1,4,h03,h03,h03
平成4年度寮歌,美濃成夫,,熱き街,ryoka/h04.txt,1,4,h04,h04,h04
平成5年度寮歌,小川太郎,柳谷信吾,今日の寮歌,ryoka/h05.txt,1,5,h05,h05,h05
平成7年度寮歌,宇野直哉,永田将人,六華ぞ窓に,ryoka/h07.txt,1,5,h07,h07,h07
平成8年度寮歌,長谷川健,石井英一,若き力,ryoka/h08.txt,1,5,h08,h08,h08
平成9年度寮歌,長谷川健,石井英一,昇龍の夢,ryoka/h09.txt,1,5,h09,h09,h09
平成10年第90回記念祭歌,一谷英樹,長谷川健,天地人,ryoka/h10.txt,1,5,h10,h10,h10
平成10年度寮歌,小日山輝泉,長谷川健,生命萌え出で,ryoka/h10b.txt,1,5,h10b,h10b,h10b
平成11年度寮歌,荒木洋祐,小出隆広,清華の誓,ryoka/h11.txt,1,5,h11,h11,h11
平成12年度寮歌,野路直之,村中剛洋,若人よ,ryoka/h12.txt,1,5,h12,h12,h12
平成14年度寮歌,上川雄之,千葉直樹,蒼天へ,ryoka/h14.txt,1,5,h14,h14,h14
平成15年度寮歌,井口拓,持田翼,ああグッと,ryoka/h15.txt,1,5,h15,h15,h15
平成16年度寮歌,高橋直樹,山口駿,折れたポプラよ,ryoka/h16.txt,1,5,h16,h16,h16
平成17年度寮歌,加藤信泰,福岡萌,遙かなる迪,ryoka/h17.txt,1,5,h17,h17,h17
平成18年度寮歌,岩崎良平,吉田和史,ただ一心に,ryoka/h18.txt,1,5,h18,h18,h18
平成19年度寮歌,井関俊介,八城雄太,恵迪小唄,ryoka/h19.txt,1,5,h19,h19,h19
平成20年度寮歌,黒瀬智子,,星の舟唄,ryoka/h20.txt,1,4,h20,h20,h20
平成20年第100回記念祭歌,石井翔,木川明音,雲海貫く,ryoka/h20b.txt,1,5,h20b,h20b,h20b
平成21年度寮歌,丸田潤,,六華雪解に,ryoka/h21.txt,1,4,h21,h21,h21
平成22年度寮歌,林祥史,,野性に吠えろ,ryoka/h22.txt,1,4,h22,0,h22
平成23年度寮歌,安田龍平,我如古弥司,広がるはただ青き旅路ぞ,ryoka/h23.txt,1,5,h23,0,h23
平成24年度寮歌,丸田潤,,快速エアポート,ryoka/h24.txt,1,4,h24,h24,h24
平成25年新々寮30周年記念寮歌,森貝聡恵,菊池玄之介,北溟の我らぞ,ryoka/h25.txt,1,5,h25,h25,h25
平成25年度寮歌,丸田潤,,二つの春,ryoka/h25b.txt,1,4,h25b,h25b,h25b
平成26年度寮歌,松元一平,寺尾佳隆,姫月に重ねて,ryoka/h26.txt,1,5,h26,0,h26
平成27年度寮歌,鈴木美奈,小松遼貴,咲く六華よ,ryoka/h27.txt,1,5,h27,h27,h27
平成28年度寮歌,小松遼貴,,此の寮よりの児,ryoka/h28.txt,1,4,h28,h28,h28
平成29年度寮歌,冠花,佐藤亮,不香の花ぞ,ryoka/h29.txt,1,5,h29,h29,h29
平成30年第110回記念祭歌,小田嶋元哉,,蔦壁照らす,ryoka/h30.txt,1,4,0,0,h30
平成30年度寮歌,樋浦一希,,広がりし海原に,ryoka/h30b.txt,1,4,h30b,h30b,h30b
令和元年第111回記念祭歌,樋浦一希,伊藤小雪,奔る流れ,ryoka/r01.txt,1,5,r01,r01,r01
令和元年度寮歌,佐藤亮,,奔る流れ,ryoka/r01b.txt,1,4,0,0,r01b
大正元年桜星会歌,横山芳介,柳沢秀雄,あらうれし,append/a001.txt,1,4,a001,a001,a001
第3期卒業生贈桜星会歌,加藤義夫,角倉邦彦,朝葉末の,append/a002.txt,1,4,a002,0,a002
大正3年桜星会歌,木原均,岩崎直砥,島浪かへる,append/a003.txt,1,4,a003,0,a003
大正7年桜星会歌,,,流るる光途,append/a004.txt,3,2,a004,0,a004
大正9年桜星会歌,佐藤一雄,置塩寄,瓔珞みがく,append/a005.txt,1,5,a005,a005,a005
大正11年桜星会歌,,,心の故郷,append/a006.txt,3,2,a006,0,a006
大正14年桜星会優勝歌,木村英男,宗知康,桑楡哺紅に,append/a007.txt,1,5,a007,a007,a007
昭和15年桜星会三十周年記念歌,岩崎五郎,呉泰治郎,清き郷石狩の,append/a008.txt,5,4,a008,0,a008
北大創基百周年記念東京同窓会寄贈寮歌,小倉行雄,矢野哲憲,楡陵を去る日に,append/s51b.txt,1,4,s51b,0,0
北大創基百周年記念東京同窓会寄贈寮歌,宍戸昌夫,,北を恋う,append/s51c.txt,1,4,s51c,0,0
,水野渉,,Bye-Bye!,append/a009.txt,2,2,a009,0,a009
,,,ストームの歌,append/a010.txt,4,1,0,a010,a010
恵迪寮100周年記念寄贈寮歌,千川浩治,,不老の青春,append/a011.txt,1,3,a011,0,a011
,,,開校祝賀の歌,append/a012.txt,4,3,a012,0,a012
大正7年,,,北海道帝国大学独立記念歌,append/a013.txt,3,2,a013,0,a13
,秋野豊太,河口忠雄,北海道帝国大学文武会創基五十周年祝歌,append/a014.txt,2,7,a014,0,0
昭和15年,,,文武会歌,append/a015.txt,3,2,a015,0,0
,Prof.Hans Koller,,STUDENTENLIED,append/a016.txt,6,2,a016,0,0
1915年,Prof.Paul Rowland,,MARCHING SONG,append/a017.txt,7,2,a017,0,0
1916年,Prof.Paul Rowland,,College Hymn,append/a018.txt,7,2,a018,0,0
大正末期,河合九州夫,小峰三千男,柔道部東征歌,append/a019.txt,2,4,a019,0,0
大正14年頃,相川正義,小野鉄之助,スキー部部歌,append/a020.txt,2,4,a020,0,0
昭和4年頃,須田政美,長谷川誠,野球部南征歌,append/a021.txt,2,4,a021,0,0
昭和9年,坂井稔,飯田毅,ラグビー部部歌,append/a022.txt,2,4,a022,0,a022
,村岡五郎,,ラグビー部賛歌,append/a023.txt,2,2,a023,0,a023
昭和11年,築城武義,柳沢三郎,水泳部部歌,append/a024.txt,2,4,a024,0,0
山岳部部歌,朝比奈英三,渡辺良一,山の四季,append/a025.txt,1,4,a025,0,a025
漕艇部部歌,木原慎一,,春三月の(茨戸の歌),append/a026.txt,1,3,a026,0,a026
昭和35年頃,三浦清一郎,滝沢南海雄,馬術部賛歌,append/a027.txt,2,4,a027,0,0
平成3年,浪岡大介,高田礼人,剣道部部歌,append/a028.txt,2,4,a028,0,0
,,,ヨットマンの歌,append/a029.txt,4,1,0,0,a029
明治42年,,,水産科応援歌,append/a030.txt,3,2,0,0,0
大正4年,,,予科応援歌,append/a031.txt,3,2,0,0,0
大正4年,,,農学実科応援歌,append/a032.txt,3,2,0,0,0
大正4年,,,林学実科応援歌,append/a033.txt,3,2,0,0,0
大正4年,,,水産科応援歌,append/a034.txt,3,2,0,0,0
大正4年,,,土木工科応援歌,append/a035.txt,3,2,0,0,0
,,,大正4年応援歌,append/a036.txt,4,1,0,0,0
,熊谷巌,置塩奇,大正9年応援歌,append/a037.txt,2,3,a037,0,0
,須田政美,長谷川誠,昭和5年応援歌,append/a038.txt,2,3,a038,0,0
,北大管弦楽部,,昭和6年応援歌,append/a039.txt,6,2,a039,0,0
,宇野親美,赤池武美,昭和7年応援歌,append/a040.txt,8,3,a040,0,0
,石井,脇坂,昭和8年応援歌,append/a041.txt,2,3,a041,0,0
,末松和彦,菊地修二,昭和9年応援歌,append/a042.txt,2,3,a042,0,0
,平松敏雄,,昭和10年応援歌,append/a043.txt,2,2,a043,0,0
,河邨文一郎,能登,昭和11年応援歌,append/a044.txt,2,3,a044,0,0
,河邨文一郎,桜井允,昭和12年応援歌,append/a045.txt,2,3,a045,0,0
昭和14年,大槻均,森鼻正美,医学部学友会歌,append/a046.txt,1,4,a046,0,0
昭和14年7月,高見浩也,向井弘,医専振興歌,append/a047.txt,1,4,a047,0,0
昭和14年7月,谷本恒一郎,向井弘,医専逍遥歌,append/a048.txt,1,4,a048,0,0
,,,医専応援歌,append/a049.txt,4,2,0,0,0
昭和17年,境隆雄,,北工会の歌,append/a050.txt,1,3,0,0,0
昭和3年,西村真琴,永井幸次,北海道帝国大学附属水産専門部歌,append/a051.txt,9,4,a051,0,0
昭和12年,土井晩翠,東京音楽学校,函館高等水産学校校歌,append/a052.txt,10,4,a052,0,0
昭和12年,斉藤光治,塩見潔,水産逍遥歌,append/a053.txt,1,4,a053,0,0
,,,水産放浪歌,append/a054.txt,4,2,a054,a054,a054
